0,2576
1,318
2,401
3,466
4,576
5,756
6,881
7,960
8,1040
9,1281
10,1794
11,2711
12,5414
13,11180
14,19408
15,26394
16,26981
17,23056
18,18611
19,15924
20,15506
21,14834
22,13989
23,14425
24,14735
25,15642
26,16669
27,17597
28,17496
29,16050
30,13475
31,10559
32,7698
33,5458
34,4244
35,3411
36,3211
37,3010
38,2922
39,2866
40,2779
41,2771
42,2779
43,2721
44,2654
45,2544
46,2473
47,2468
48,2269
49,2233
50,2283
51,2223
52,2135
53,2144
54,2132
55,1960
56,1906
57,1858
58,1827
59,1781
60,1814
61,1728
62,1619
63,1609
64,1595
65,1620
66,1531
67,1511
68,1466
69,1505
70,1367
71,1368
72,1324
73,1281
74,1260
75,1341
76,1255
77,1209
78,1215
79,1219
80,1173
81,1206
82,1205
83,1206
84,1104
85,1151
86,1131
87,1164
88,1070
89,1020
90,1114
91,1107
92,1094
93,1044
94,1083
95,1007
96,1024
97,1046
98,956
99,1070
100,1026
101,960
102,990
103,1018
104,991
105,970
106,1025
107,1035
108,1086
109,1066
110,1042
111,1048
112,996
113,1031
114,1091
115,1034
116,1066
117,1071
118,1089
119,1098
120,1032
121,1024
122,1082
123,1077
124,1050
125,1084
126,1066
127,1054
128,950
129,972
130,865
131,778
132,762
133,725
134,654
135,558
136,501
137,444
138,493
139,477
140,413
141,412
142,413
143,366
144,363
145,349
146,314
147,324
148,311
149,321
150,261
151,271
152,262
153,257
154,233
155,224
156,236
157,251
158,252
159,222
160,225
161,221
162,198
163,220
164,198
165,222
166,227
167,202
168,237
169,209
170,205
171,273
172,283
173,305
174,401
175,461
176,625
177,787
178,1004
179,1239
180,1547
181,1800
182,1971
183,2118
184,2076
185,1944
186,1720
187,1440
188,1160
189,885
190,683
191,524
192,425
193,352
194,338
195,307
196,323
197,348
198,302
199,308
200,294
201,264
202,216
203,226
204,205
205,182
206,152
207,172
208,153
209,146
210,128
211,129
212,141
213,134
214,147
215,135
216,151
217,129
218,150
219,150
220,151
221,116
222,135
223,174
224,134
225,118
226,129
227,151
228,138
229,156
230,134
231,146
232,132
233,149
234,134
235,130
236,127
237,138
238,163
239,150
240,140
241,147
242,163
243,140
244,153
245,160
246,146
247,152
248,169
249,155
250,140
251,152
252,173
253,170
254,177
255,161
256,154
257,175
258,144
259,165
260,157
261,147
262,152
263,159
264,162
265,136
266,142
267,135
268,130
269,127
270,132
271,134
272,121
273,119
274,125
275,107
276,102
277,98
278,107
279,104
280,103
281,104
282,94
283,93
284,94
285,89
286,104
287,79
288,101
289,100
290,78
291,106
292,93
293,109
294,90
295,99
296,80
297,95
298,100
299,98
300,85
301,89
302,102
303,84
304,87
305,92
306,78
307,91
308,81
309,84
310,98
311,83
312,65
313,55
314,64
315,55
316,66
317,85
318,67
319,74
320,73
321,98
322,115
323,141
324,130
325,130
326,147
327,146
328,151
329,151
330,130
331,101
332,102
333,90
334,61
335,58
336,49
337,54
338,41
339,42
340,31
341,28
342,29
343,22
344,9
345,18
346,15
347,12
348,21
349,17
350,9
351,11
352,10
353,12
354,7
355,10
356,12
357,8
358,14
359,21
360,17
361,22
362,29
363,34
364,42
365,57
366,59
367,69
368,81
369,73
370,100
371,86
372,94
373,100
374,80
375,90
376,84
377,71
378,70
379,72
380,61
381,49
382,55
383,44
384,38
385,36
386,28
387,40
388,34
389,29
390,37
391,32
392,25
393,24
394,32
395,29
396,22
397,29
398,30
399,17
400,25
401,31
402,19
403,15
404,18
405,29
406,19
407,18
408,18
409,14
410,14
411,11
412,11
413,11
414,6
415,9
416,4
417,4
418,5
419,2
420,4
421,2
422,1
423,1
424,1
425,0
426,1
427,1
428,0
429,1
430,0
431,1
432,0
433,0
434,0
435,0
436,1
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,1
454,0
455,0
